population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,All Population,5,Prevalence,87,Luxembourg,3,Both,22,All ages,575,Autism spectrum disorders,3,Rate,1994,727.09765112129,1474.07883920278,331.04252746132
1,All Population,5,Prevalence,87,Luxembourg,3,Both,22,All ages,578,Attention-deficit/hyperactivity disorder,3,Rate,1994,925.9307868893601,1297.31356091723,653.48235365214
1,All Population,5,Prevalence,87,Luxembourg,3,Both,22,All ages,579,Conduct disorder,3,Rate,1994,380.8707386071,480.32120997177,284.0201932682
1,All Population,5,Prevalence,76,Belgium,3,Both,22,All ages,543,Alzheimer's disease and other dementias,3,Rate,1994,1261.60030111082,1441.00177415139,1070.8288427631499
1,All Population,5,Prevalence,76,Belgium,3,Both,22,All ages,559,Schizophrenia,3,Rate,1994,332.12336337562,402.73840001198,264.76993857169003
1,All Population,5,Prevalence,76,Belgium,3,Both,22,All ages,560,Alcohol use disorders,3,Rate,1994,2757.3622398244397,3232.39760345248,2346.8400985925
1,All Population,5,Prevalence,76,Belgium,3,Both,22,All ages,561,Drug use disorders,3,Rate,1994,949.78045938154,1095.72835270088,822.95336140922
1,All Population,5,Prevalence,45,Bulgaria,3,Both,22,All ages,543,Alzheimer's disease and other dementias,3,Rate,1994,719.9458667425299,837.9480044230199,592.79457252108
1,All Population,5,Prevalence,45,Bulgaria,3,Both,22,All ages,559,Schizophrenia,3,Rate,1994,342.38376916125,417.67554445991,271.97966170368
1,All Population,5,Prevalence,45,Bulgaria,3,Both,22,All ages,560,Alcohol use disorders,3,Rate,1994,2057.36889904511,2388.88484217302,1800.83027020491
1,All Population,5,Prevalence,45,Bulgaria,3,Both,22,All ages,561,Drug use disorders,3,Rate,1994,603.86310591949,690.13957474144,521.41369021573
1,All Population,5,Prevalence,87,Luxembourg,3,Both,22,All ages,543,Alzheimer's disease and other dementias,3,Rate,1994,769.47951996926,889.2343830328,637.53831573247
1,All Population,5,Prevalence,79,Finland,3,Both,22,All ages,567,Depressive disorders,3,Rate,1995,2916.62575796563,3309.35472370652,2533.26215455677
1,All Population,5,Prevalence,79,Finland,3,Both,22,All ages,570,Bipolar disorder,3,Rate,1995,744.3258160445899,933.4207607014099,588.30250706301
1,All Population,5,Prevalence,79,Finland,3,Both,22,All ages,571,Anxiety disorders,3,Rate,1995,2897.65868712369,3379.9257551676196,2500.60131140185
1,All Population,5,Prevalence,88,Malta,3,Both,22,All ages,578,Attention-deficit/hyperactivity disorder,3,Rate,1994,1046.41902699052,1476.3981337096,733.744830515
1,All Population,5,Prevalence,88,Malta,3,Both,22,All ages,579,Conduct disorder,3,Rate,1994,518.96613225877,657.11035406945,388.37181739495
1,All Population,5,Prevalence,59,Latvia,3,Both,22,All ages,543,Alzheimer's disease and other dementias,3,Rate,1994,754.5027581522901,857.81393928042,645.61044644469
1,All Population,5,Prevalence,59,Latvia,3,Both,22,All ages,559,Schizophrenia,3,Rate,1994,262.02499745464,322.62912675417,207.92921612399
1,All Population,5,Prevalence,54,Slovakia,3,Both,22,All ages,543,Alzheimer's disease and other dementias,3,Rate,1994,571.86025985264,660.13859924898,484.18070021811
1,All Population,5,Prevalence,54,Slovakia,3,Both,22,All ages,559,Schizophrenia,3,Rate,1994,324.75988731328,401.29840059415,258.22260446623
