Country,Code,Year,Alcohol use disorders,Alzheimer's disease and other dementias,Anxiety disorders,Attention-deficit/hyperactivity disorder,Autism spectrum disorders,Bipolar disorder,Conduct disorder,Depressive disorders,Drug use disorders,Schizophrenia,GDP per capita,Unemployment rate (%),Health expenditure (% GDP),Population,Gini index,Urban population (%),Internet users (% of population),Physicians per 100000,Suicide rate,Region
Germany,DEU,2023,2250.64201592832,2507.86853449862,5791.15608600886,251.55116587426,789.66617021333,629.9476665506601,316.40682578583,4851.66625410977,808.0039068015601,365.85143918438,54776.7668235491,3.071,11.74428654,83287273.0,,81.9034366692129,92.4763763,,,Western Europe/Nordics
Greece,GRC,2022,1496.7052024857198,2363.65996765029,8617.40323877347,765.62493542048,771.48726136034,718.12601670134,327.82291735031,5908.57680727027,571.11620482049,359.70777466792,20884.6773436263,12.426,8.44938278,10437805.0,33.4,78.5502190980809,83.17066333,657.5999999999999,,Mediterranean
Greece,GRC,2023,1542.2969232635,2360.8375438745,9635.1251526025,760.83545409984,773.97828284559,719.88488582766,324.39172332047,5872.07544440555,572.2780040849,360.90685248269,23343.7103964562,11.023,8.39367008,10407351.0,33.4,78.7746303842088,85.0102229,,,Mediterranean
Hungary,HUN,2022,2775.47209018634,1213.16241621394,4733.92153836025,408.11789268664,580.41917853078,558.68879754664,312.51237239242,3708.44689497188,545.2873207497901,364.87124493213,18428.028825614,3.583,6.6474123,9605074.0,,70.1585064243445,89.14282688,345.6,,Eastern Europe
Hungary,HUN,2023,3057.26520494974,1229.60559980861,5320.07142482958,406.84037912717,584.1785449022,558.60370688634,311.91100573681,3771.7464364832304,559.59958854755,364.72228691691,22208.6509820466,4.096,6.36868954,9592186.0,,70.2923026891431,91.4500713,,,Eastern Europe
Ireland,IRL,2022,3161.54598797806,1018.1876269184,9189.976427000507,1546.52692099379,934.79901924027,556.3562103009799,446.30267185011,3981.5678460892295,1154.8203195462002,386.40664235111,105190.685952731,4.465,6.02078247,5212836.0,29.9,63.8920250215059,95.03690338,336.2,,Western Europe/Nordics
Ireland,IRL,2023,3153.99105309242,1055.15305473264,10303.24234366068,1538.47017397567,938.08328627181,592.24027617528,443.73750373285,4068.20166590362,1146.73367702957,388.57289061999,106818.917130804,4.243,6.57538509,5311538.0,29.0,64.1152082461268,96.8660965,387.5,,Western Europe/Nordics
Italy,ITA,2022,1493.50577739731,2389.08987351923,7552.260718686871,745.83999933125,703.91471779645,630.15012067899,345.29719915343,2897.30877030895,744.23263572722,341.92760925624003,35653.9042103495,8.069,8.85022926,59013667.0,33.7,69.4839779766539,85.06074504,419.1,,Mediterranean
Italy,ITA,2023,1538.33841338016,2424.19769274701,8501.51519384319,721.84137232354,708.47600202894,630.9147325589599,344.23414197487,2899.38155077696,737.09877530298,343.87812274464,39279.699782164,7.627,8.40559483,58984216.0,34.3,69.5381540123301,87.0278292,,,Mediterranean
Latvia,LVA,2022,3043.0202555230103,1424.52689323281,4506.00975940794,408.31447413462,666.67453346494,559.66431502644,334.89290238124,3804.28251108685,788.23314558818,280.83079259481,20221.103686109,6.815,8.1044302,1879383.0,33.7,68.2570218109034,91.03009059,339.8,,Baltics
