Country,Code,Year,Alcohol use disorders,Alzheimer's disease and other dementias,Anxiety disorders,Attention-deficit/hyperactivity disorder,Autism spectrum disorders,Bipolar disorder,Conduct disorder,Depressive disorders,Drug use disorders,Schizophrenia,GDP per capita,Unemployment rate (%),Health expenditure (% GDP),Population,Gini index,Urban population (%),Internet users (% of population),Physicians per 100000,Suicide rate,Region
Belgium,BEL,2019,2511.0810840700296,1637.31529416903,5559.4653233914205,855.93895155858,749.43406902778,694.5040119527399,380.83446848151,3710.9168682588,857.0900653133999,337.51225782286,46716.6227467964,5.364,10.85831451,11488980.0,27.2,87.0961631189222,90.275428012141,342.4,18.11039552,Western Europe/Nordics
Belgium,BEL,2020,2501.01990338456,1633.8796771342802,6766.525472337789,856.2877228971699,752.21655383322,694.89995221532,383.08320926427,4428.315125876639,846.1195429682,337.71304346185,45906.2875805246,5.545,11.46253014,11538604.0,26.0,87.2964994991269,91.52641629,350.6,16.88794051,Western Europe/Nordics
Belgium,BEL,2021,2519.62118115316,1620.93953090131,6670.770249335101,856.23875986427,755.3269175635901,695.6439806585,384.73294005028,4318.7932091208,819.0625141637801,338.43076393544004,51658.238294958,6.248,11.28825092,11586195.0,26.6,87.4305564090635,92.78867618,353.7,18.36102273,Western Europe/Nordics
Bulgaria,BGR,2000,2245.75545309718,826.82663310136,3820.95371850358,470.76789183408,497.467873416,488.69692076675,400.31331830001,2966.04388682948,640.54958251009,350.85716644023,1621.3452487867,16.218,5.82970953,8170172.0,30.242380952380245,68.2631454467773,5.37092346908696,344.1,18.22020936,Eastern Europe
Bulgaria,BGR,2001,2244.91798716483,838.89661405665,3826.70025216037,466.41316841509,498.31217835016,491.0397383156701,392.33111044417,2857.13450594044,644.8894540871901,353.03568217651,1770.99748249575,19.921,6.85958815,8009142.0,32.7,69.196711983564,7.6122977487982,342.9,17.30853419,Eastern Europe
Bulgaria,BGR,2002,2227.9729606914702,870.06359613204,3832.1613210996,461.10895952059,498.98371946976,493.09945367649,382.62670007955,3036.54810840066,650.34477781998,355.18214522476,2093.08967660564,18.11,7.0809865,7837161.0,30.8,69.4859161376953,9.08,352.2,17.32647916,Eastern Europe
Bulgaria,BGR,2003,2202.92673441101,894.09009479574,3837.64327306088,455.8692245088501,500.17939153402006,495.16446750353,372.20974933405,2941.74848616609,656.34669537386,357.58403341494,2719.63335037372,13.733,7.19987392,7775327.0,28.9,69.7808456420898,12.04,360.4,14.97480441,Eastern Europe
Bulgaria,BGR,2004,2176.14722740023,916.92524258469,3843.11862846942,450.50391449047,501.4208307732,497.09202688041,361.13754271672,3085.4210898698298,660.5369576995199,359.92641748939,3389.86047992391,12.037,6.89090872,7716860.0,31.166666666666668,69.9193344116211,18.13,353.7,14.17070889,Eastern Europe
Bulgaria,BGR,2005,2154.31846165292,943.1530920829,3847.0228227791504,445.07570135083,502.51818765228,498.66874820948,349.64980772962,2948.02992276117,661.37451221625,361.82402969655,3900.02501966492,10.083,6.89011478,7658972.0,33.43333333333334,70.0869598388672,19.97,366.1,13.24269681,Eastern Europe
Bulgaria,BGR,2006,2130.4696847611203,967.25066382601,3846.4907638348,439.35829965334,503.66792381684,499.8331316909501,337.60851582549003,2971.6545724222,658.73720955739,363.26246598214,4523.37797301782,8.951,6.52544546,7601022.0,35.7,70.5075225830078,27.09,367.6,13.29683783,Eastern Europe
Bulgaria,BGR,2007,2098.3000540143503,997.71012329818,3844.37410870072,433.28446403091,505.03963033539,500.53335245184,325.27404942847,2978.58088998096,653.38039463705,364.4516727977,5888.87094585161,6.878,6.15651751,7545338.0,36.1,70.6844177246094,33.64,367.5,12.37329045,Eastern Europe
Bulgaria,BGR,2008,2067.17103629928,1016.6635018924,3859.47184188535,427.45441055356,507.02974460584994,501.07948753534,313.50959659943,2912.87717297491,646.27259210568,365.70548924972,7271.67443724077,5.609,6.28281593,7492561.0,33.6,70.902099609375,39.67,364.3,13.05868191,Eastern Europe
Bulgaria,BGR,2009,2044.44696921617,1021.97009882017,3869.34456970276,422.29987283745,509.44262412467,501.70735349895,303.61238351413,2914.33885853894,637.9718529675,367.1940541607101,6988.63048446496,6.817,6.59577608,7444443.0,33.8,71.3017349243164,45.0,373.3,12.30298562,Eastern Europe
Bulgaria,BGR,2010,2036.97087828137,1064.99182099513,3895.1533375317504,416.36769369606,510.43125021868,501.69246942604,295.02032117004,2920.59352323068,626.8137951049,367.89941303425,6854.2987837778,10.279,7.09477949,7395599.0,35.7,71.5149307250977,46.23,374.7,12.39917142,Eastern Europe
Bulgaria,BGR,2011,2057.97030694008,1072.34572079133,3940.16691910503,412.20954539448,512.40202978078,502.06605593209,289.28375258941,2926.10145542695,615.84345205842,369.21859789228,7849.98219737366,11.26,7.10250568,7348328.0,34.3,72.6101653885532,47.9799930506026,383.8,11.06690924,Eastern Europe
Bulgaria,BGR,2012,2101.66202109161,1108.52837337867,3961.14676040792,407.55228328166,513.74743695289,501.86399005512,284.63333277658,3067.65386858812,602.05799420272,369.93140730064,7432.33753378983,12.27,7.53903675,7305888.0,36.0,72.7684860229492,51.8999876658503,386.8,12.63208236,Eastern Europe
Bulgaria,BGR,2013,2154.92484263795,1104.82133413427,3967.01102448533,404.700906332,516.44316175208,502.12212025592,282.97101476278004,2938.23720620943,589.22219352855,371.31319629805,7796.37945241455,12.941,7.14167452,7160005.0,36.6,72.9632821572019,53.0615,395.3,10.57558389,Eastern Europe
Bulgaria,BGR,2014,2200.1252432383303,1147.66194995007,3934.0568527387,400.41007852394006,517.62913431551,501.68359928257,281.62105347513,3124.18256600143,575.2053395396,371.54838289774,8070.01289303544,11.424,7.68306208,7073572.0,37.4,73.0844879150391,55.4903766299262,397.8,10.56601841,Eastern Europe
Bulgaria,BGR,2015,2224.7400847654903,1182.19742922773,3904.26326762798,396.61564181321,518.86468920604,501.31138588178,281.75052433083,3027.1002211342898,563.46143867691,371.63867328466,7269.02586513711,9.143,7.39363575,6984225.0,38.6,73.1030578613281,56.6562516053086,404.1,9.954010202,Eastern Europe
Bulgaria,BGR,2016,2223.63660387026,1177.0617057587,3860.0539661910097,394.39096687826,521.3230496805601,501.27616056402,284.37046879824,3020.89847826854,554.84367065356,372.0256332428,7822.89886431732,7.575,7.45975018,6894139.0,40.6,73.1750030517578,59.825547661014,410.7000000000001,9.712333446,Eastern Europe
Bulgaria,BGR,2017,2201.5343496829,1217.51488618372,3798.60632720993,391.05136216176,522.65306943769,500.3960730048,287.33885515494,3031.58640074466,545.36543790577,371.13436770705,8697.13373333715,6.164,7.49624491,6803468.0,40.4,73.3904571533203,63.4101013837926,418.4,10.34880345,Eastern Europe
